Codigo,Componente,Nombre_Componente
57723,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57724,CPS0019,CONSUMO DE LAMINADO
57724,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57725,CPS0019,CONSUMO DE LAMINADO
57725,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57726,CPS0019,CONSUMO DE LAMINADO
57726,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57727,CPS0019,CONSUMO DE LAMINADO
57727,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57728,CPS0019,CONSUMO DE LAMINADO
57728,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57733,CPS0019,CONSUMO DE LAMINADO
57733,46344,LAMINADO 160MM PPBB60-P1-G62S (Samson)
57734,CPS0019,CONSUMO DE LAMINADO
57734,56392,LAMINADO 330MM WHITE COVER
57735,CPS0019,CONSUMO DE LAMINADO
57735,46118,LAMINADO 300MM PPBB60-P1-G62S
57735,51677,LAMINADO 300MM PP BCO BTE P4 38M G58 ARC
57736,CPS0019,CONSUMO DE LAMINADO
57736,50360,LAMINADO FILM PETG 300 MM 45 MIC
57737,CPS0019,CONSUMO DE LAMINADO
57737,50360,LAMINADO FILM PETG 300 MM 45 MIC
57739,CPS0019,CONSUMO DE LAMINADO
57739,57374,LAMINADO 330MM PP BCO BTE PPBB60-P ARP
57740,CPS0019,CONSUMO DE LAMINADO
57740,57374,LAMINADO 330MM PP BCO BTE PPBB60-P ARP
57741,CPS0019,CONSUMO DE LAMINADO
57741,57374,LAMINADO 330MM PP BCO BTE PPBB60-P ARP
57742,CPS0019,CONSUMO DE LAMINADO
57742,57374,LAMINADO 330MM PP BCO BTE PPBB60-P ARP
57743,CPS0019,CONSUMO DE LAMINADO
57743,57374,LAMINADO 330MM PP BCO BTE PPBB60-P ARP
57744,CPS0019,CONSUMO DE LAMINADO
57744,56778,LAMINADO 330MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
57745,43860,LAMINADO 330MM PP BCO BTE P4 38M G58 ARC
57745,CPS0019,CONSUMO DE LAMINADO
57745,50136,LAMINADO CINTA P/LAMINAR  PP TRANSP. 320MM OLPP24-MATE-º1500º
57746,43860,LAMINADO 330MM PP BCO BTE P4 38M G58 ARC
57746,CPS0019,CONSUMO DE LAMINADO
57746,50136,LAMINADO CINTA P/LAMINAR  PP TRANSP. 320MM OLPP24-MATE-º1500º
57747,CPS0019,CONSUMO DE LAMINADO
57747,46192,LAMINADO 330MM PPBB60-P4-G62S
57748,CPS0019,CONSUMO DE LAMINADO
57748,46192,LAMINADO 330MM PPBB60-P4-G62S
57749,CPS0019,CONSUMO DE LAMINADO
57749,56378,LAMINADO 110MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
57751,CPS0019,CONSUMO DE LAMINADO
57751,56775,LAMINADO 160MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
57753,CPS0019,CONSUMO DE LAMINADO
57753,54314,LAMINADO 167 WINEGLASS (MANUAL) 10939 RI
