Codigo,Componente,Nombre_Componente
57483,57374,LAMINADO 330MM PP BCO BTE PPBB60-P ARP
57486,CPS0019,CONSUMO DE LAMINADO
57486,56778,LAMINADO 330MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
57487,CPS0019,CONSUMO DE LAMINADO
57487,53511,LAMINADO 330 MM PPDL54P1 OPTIMA MATE G60 ARC
57487,46148,LAMINADO 330MM PPBB60-P1-G62S
57488,CPS0019,CONSUMO DE LAMINADO
57488,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57489,CPS0019,CONSUMO DE LAMINADO
57489,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57490,CPS0019,CONSUMO DE LAMINADO
57490,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57491,CPS0019,CONSUMO DE LAMINADO
57491,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57492,CPS0019,CONSUMO DE LAMINADO
57492,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57493,CPS0019,CONSUMO DE LAMINADO
57493,53511,LAMINADO 330 MM PPDL54P1 OPTIMA MATE G60 ARC
57493,56502,LAMINADO 330MM PPBB57-P1-G62S ARC
57494,CPS0019,CONSUMO DE LAMINADO
57494,56777,LAMINADO 300MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
57495,40500,LAMINADO 160MM BOPP  BLACO. 60 UTC RI 707/BL 8065 EXACTO
57495,CPS0019,CONSUMO DE LAMINADO
57496,40500,LAMINADO 160MM BOPP  BLACO. 60 UTC RI 707/BL 8065 EXACTO
57496,CPS0019,CONSUMO DE LAMINADO
57497,40500,LAMINADO 160MM BOPP  BLACO. 60 UTC RI 707/BL 8065 EXACTO
57497,CPS0019,CONSUMO DE LAMINADO
57498,40500,LAMINADO 160MM BOPP  BLACO. 60 UTC RI 707/BL 8065 EXACTO
57498,CPS0019,CONSUMO DE LAMINADO
57501,CPS0019,CONSUMO DE LAMINADO
57501,57346,LAMINADO 330MM PP BCO. BTE. 60 S0290 F2953B AVERY
57501,53609,LAMINADO 330MM PP BLANCO TC 40 MICRAS  02176 RI757
57504,43452,LAMINADO 160MM PP BCO BTE P4 38M G58 ARC
57504,CPS0019,CONSUMO DE LAMINADO
57504,57755,LAMINADO 160MM PP BCO BTE PPBB60-P ARP (SAMSON/ARP)
57506,CPS0019,CONSUMO DE LAMINADO
57506,45856,LAMINADO 330MM PAPEL SEMIBRILLO 6770 80 GR AP 904 RI
57507,CPS0019,CONSUMO DE LAMINADO
57507,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
57508,CPS0019,CONSUMO DE LAMINADO
57508,709,LAMINADO 110MM PAPEL SEMIBRILLO 6770 80G AP 904 RI
57509,CPS0019,CONSUMO DE LAMINADO
57509,53103,LAMINADO 111MM PP TRANSP. RP37 SY105C UPM RAFLATAC
57510,CPS0019,CONSUMO DE LAMINADO
57510,50360,LAMINADO FILM PETG 300 MM 45 MIC
57510,45939,LAMINADO FOLIA PLATA COLDFOIL 160MM DSCF613-OP COR
57511,45939,LAMINADO FOLIA PLATA COLDFOIL 160MM DSCF613-OP COR
57511,CPS0019,CONSUMO DE LAMINADO
57511,50360,LAMINADO FILM PETG 300 MM 45 MIC
57512,CPS0019,CONSUMO DE LAMINADO
57512,51557,LAMINADO FILM PETG 280 MM 45 MIC
57512,45939,LAMINADO FOLIA PLATA COLDFOIL 160MM DSCF613-OP COR
57513,CPS0019,CONSUMO DE LAMINADO
57513,51557,LAMINADO FILM PETG 280 MM 45 MIC
57513,45939,LAMINADO FOLIA PLATA COLDFOIL 160MM DSCF613-OP COR
57516,CPS0019,CONSUMO DE LAMINADO
57516,54314,LAMINADO 167 WINEGLASS (MANUAL) 10939 RI
57519,57518,LAMINADO 170MM GLASSINE 60G
57519,57517,LAMINADO 150MM PAPEL COUCHE 90GR/M2
57524,CPS0019,CONSUMO DE LAMINADO
57524,56389,LAMINADO 333MM PAPEL SEMIBRILLO BG62 ECOPRINT S2045 AD
57525,CPS0019,CONSUMO DE LAMINADO
57525,57570,LAMINADO 250MM PAPEL SEMIBRILLO BG62 ECOPRINT S2045 AD
57526,CPS0019,CONSUMO DE LAMINADO
57526,56389,LAMINADO 333MM PAPEL SEMIBRILLO BG62 ECOPRINT S2045 AD
57527,CPS0019,CONSUMO DE LAMINADO
57527,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57528,CPS0019,CONSUMO DE LAMINADO
57528,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57529,CPS0019,CONSUMO DE LAMINADO
57529,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57530,CPS0019,CONSUMO DE LAMINADO
57530,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57531,CPS0019,CONSUMO DE LAMINADO
57531,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57532,CPS0019,CONSUMO DE LAMINADO
57532,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57533,CPS0019,CONSUMO DE LAMINADO
57533,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57534,CPS0019,CONSUMO DE LAMINADO
57534,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57535,CPS0019,CONSUMO DE LAMINADO
57535,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57536,CPS0019,CONSUMO DE LAMINADO
57536,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57537,CPS0019,CONSUMO DE LAMINADO
57537,54394,LAMINADO 333MM PP BCO. SY1071H RP37 EXACTO UPM
57538,CPS0019,CONSUMO DE LAMINADO
57538,46145,LAMINADO 110MM PPBB60-P1-G62S
57539,CPS0019,CONSUMO DE LAMINADO
