Codigo,Nombre,Cantidad_Disponible,Unidad_Medida,Costo_Unitario,Valor_Stock_Total,Categoria,Bodega,Comprometido,Proveedor
58503,INSUMOS OPERATIVOS PLANTA PERÚ,0.0,,0.0,0.0,PROD. INSUMOS,"SINCLAIR STOCK, BOG. LOGICA ARAUCO, POSCOSECHA, SERV.TECNICO SAMSON, BODEGA ESQUIM, PERU STOCK ENVIO, GESLOG PUDAHUEL, ST IMPRESORAS Y EQUIPOS, ST CONCEPCION, BODEGA PROVEEDOR, SERV.TECNICO SINCLAIR, BODEGA GESLOG INTEGRAL, OBSOLETOS COMERCIAL, CONTAINER, RRHH, MP MAQUINA WEBER, SIEGWERK, SALDO MATERIAS PRIMAS, BODEGA CLIENTES, TALLER SERV.TECNICO, POSCOSECHA MUESTRAS, TINTAS, DIFERENCIAS DE INV. P.T., MPRIMA SOBRE STOCK, TDP STOCK, SERVICIO TECNICO, PRODUCCION, PRODUCTOS RECHAZADOS, RECLAMO PROVEEDOR, NOTAS DE CREDITO, PRODUCTOS TERMINADOS, BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS",0.0,- Ningún fabricante -
58504,INSUMOS REPUESTOS PLANTA PERÚ,0.0,,0.0,0.0,SAMSON SERVICIO PERU,"MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO, RECLAMO PROVEEDOR, PRODUCCION, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, PRODUCTOS TERMINADOS, SERVICIO TECNICO, TALLER SERV.TECNICO, TDP STOCK, BODEGA CLIENTES, DIFERENCIAS DE INV. P.T., MPRIMA SOBRE STOCK, BODEGA PROVEEDOR, SERV.TECNICO SINCLAIR, SINCLAIR STOCK, POSCOSECHA, CONTAINER, BODEGA GESLOG INTEGRAL, ST CONCEPCION, RRHH, POSCOSECHA MUESTRAS, MP MAQUINA WEBER, OBSOLETOS COMERCIAL, SALDO MATERIAS PRIMAS, SIEGWERK, TINTAS, BOG. LOGICA ARAUCO, SERV.TECNICO SAMSON, PERU STOCK ENVIO, BODEGA ESQUIM, GESLOG PUDAHUEL, ST IMPRESORAS Y EQUIPOS",1617.0,- Ningún fabricante -
58505,05.19.8226 KIT INTEGRACION CABEZAL 2 NINETTE,0.0,UNIDAD,0.0,0.0,ST-ETIQUETADO,"MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO, PRODUCTOS TERMINADOS, NOTAS DE CREDITO, RECLAMO PROVEEDOR, PRODUCTOS RECHAZADOS, PRODUCCION, SERVICIO TECNICO, TDP STOCK, MPRIMA SOBRE STOCK, DIFERENCIAS DE INV. P.T., TINTAS, POSCOSECHA MUESTRAS, TALLER SERV.TECNICO, BODEGA CLIENTES, SALDO MATERIAS PRIMAS, SIEGWERK, MP MAQUINA WEBER, RRHH, CONTAINER, OBSOLETOS COMERCIAL, BODEGA GESLOG INTEGRAL, SERV.TECNICO SINCLAIR, BODEGA PROVEEDOR, ST CONCEPCION, ST IMPRESORAS Y EQUIPOS, GESLOG PUDAHUEL, PERU STOCK ENVIO, BODEGA ESQUIM, SERV.TECNICO SAMSON, POSCOSECHA, BOG. LOGICA ARAUCO, SINCLAIR STOCK",0.0,- Ningún fabricante -
58530,DISPENSADOR DE CINTA PARA EMBALAJE,0.0,UN,0.0,0.0,ADMINISTRACION,"SINCLAIR STOCK, BOG. LOGICA ARAUCO, POSCOSECHA, SERV.TECNICO SAMSON, BODEGA ESQUIM, PERU STOCK ENVIO, GESLOG PUDAHUEL, ST IMPRESORAS Y EQUIPOS, ST CONCEPCION, BODEGA PROVEEDOR, SERV.TECNICO SINCLAIR, BODEGA GESLOG INTEGRAL, OBSOLETOS COMERCIAL, CONTAINER, RRHH, MP MAQUINA WEBER, SIEGWERK, SALDO MATERIAS PRIMAS, BODEGA CLIENTES, TALLER SERV.TECNICO, POSCOSECHA MUESTRAS, TINTAS, DIFERENCIAS DE INV. P.T., MPRIMA SOBRE STOCK, TDP STOCK, SERVICIO TECNICO, PRODUCCION, PRODUCTOS RECHAZADOS, RECLAMO PROVEEDOR, NOTAS DE CREDITO, PRODUCTOS TERMINADOS, BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS",0.0,- Ningún fabricante -
586,ETIQ.INDUST.B 22 X 32 TRANSFER AE / C3 3S 23.873ETR,405.841,MILES,589.5215,239253.0,INDUST. BLANCA,PRODUCTOS TERMINADOS,0.0,- Ningún fabricante -
58609,ARMARIO CON CAMARA CITROVISION,0.0,UN,4215008.0,0.0,POSCOSECHA MAQUINA,"BODEGA COSTEO, TDP STOCK, TINTAS, POSCOSECHA MUESTRAS, BODEGA GESLOG INTEGRAL, ST IMPRESORAS Y EQUIPOS, GESLOG PUDAHUEL, BODEGA ESQUIM, POSCOSECHA",0.0,CITROSOL
58610,MOTOR NUEVO ULV T3000 EJE ESPECIAL,6.0,UN,192597.6667,1155586.0,POSCOSECHA REPUESTO,"BODEGA COSTEO, TDP STOCK, BODEGA GESLOG INTEGRAL, TINTAS, POSCOSECHA MUESTRAS, ST IMPRESORAS Y EQUIPOS, GESLOG PUDAHUEL, BODEGA ESQUIM, POSCOSECHA",0.0,CITROSOL
58611,NIVEL BOYA CITRON2 CORTO,1.0,UN,70280.0,70280.0,POSCOSECHA REPUESTO,"BODEGA COSTEO, TDP STOCK, TINTAS, POSCOSECHA MUESTRAS, BODEGA GESLOG INTEGRAL, POSCOSECHA, ST IMPRESORAS Y EQUIPOS, GESLOG PUDAHUEL, BODEGA ESQUIM",0.0,CITROSOL
58616,ANTIESPUMANTE A-F,5.0,UNIDAD,255715.6,1278578.0,POSCOSECHA FUNGICIDA,POSCOSECHA,0.0,- Ningún fabricante -
58622,LAMINADO 160MM FASSON PHARMAGLOSS S2045 BG62 AD,232.0,M2,643.75,149350.0,PROD. MAT.PRIMA,SALDO MATERIAS PRIMAS,0.0,AVERY
