ItemCode,CodBodega,ItemName,Cantidad,Costo,ValorStockTotal,FechAdmis,Ancho
12826,38,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,0.0,0.0,1900-01-01,0.0
12826,40,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,0.0,0.0,1900-01-01,0.0
12826,42,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,0.0,0.0,1900-01-01,0.0
12826,44,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,0.0,0.0,1900-01-01,0.0
12826,45,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,0.0,0.0,1900-01-01,0.0
12826,46,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,0.0,0.0,1900-01-01,0.0
12826,48,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,0.0,0.0,1900-01-01,0.0
12826,49,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,0.0,0.0,1900-01-01,0.0
12826,50,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,0.0,0.0,1900-01-01,0.0
12826,51,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,0.0,0.0,1900-01-01,0.0
12826,52,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,0.0,0.0,1900-01-01,0.0
12826,53,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,0.0,0.0,1900-01-01,0.0
12826,54,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,0.0,0.0,1900-01-01,0.0
12842,01,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,02,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,03,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,04,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,05,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,06,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,07,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,08,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,09,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,10,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,11,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,12,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,13,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,14,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,15,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,16,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,17,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,18,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,19,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,20,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,21,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,22,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,24,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,26,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,34,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,35,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,36,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,38,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,40,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,42,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,44,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,45,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,46,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,48,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,49,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,50,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,51,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,52,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,53,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
12842,54,CABEZAL TERMICO DATAMAX E-4203,0.0,78723.5,0.0,1900-01-01,0.0
13735,01,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,02,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,03,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,04,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,05,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,06,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,07,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,08,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,09,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,10,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,11,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,12,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,13,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,14,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,15,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,16,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,17,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
13735,18,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,0.0,0.0714,0.0,1900-01-01,0.0
