"sap","corr","descripcion","codigo_sap","cliente","categoria","venta","troquelado_especial","tipo_tintas","release_inhibidor","barniz","tipo_barniz","folia","sap_barniz","adhesivo","troquel_largoxancho","tipo_troquel","imag_eje","imag_desarrollo","z","paso_engranaje","sustrato_n1","n1","ancho_mts","sap_n1","sustrato_n2","ancho_n2","sap_n2","cinta_p_laminar","ancho","sap_n3_cinta_p_lam","trabajo_3ro","proveedor","sap_folia","ancho_folia","vendedor","cantidad_colores","prov_lam_1","prov_lam_2","prov_cinta","prov_folia","corte","bcm","color","anilox","bcm2","color3","anilox4","bcm5","color6","anilox7","bcm8","color9","anilox10","bcm11","aisa_maquina","aisa_final","muestra_adjunta","pantone","sist_etiq","uso","avance_x_etiqueta","avance_troquel","mts_x_rollo","et_x_rollo","rollos_x_caja","et_x_caja","n_columnas","factor_consumo","cod_caja","cod_cono","observaciones","elaborado_por","fecha_elab","n_revision","muestras_etiquetas","muestra_envases","velocidad_objetivo","actualizado_por","detalle_actualizacion","fecha_actualizacion","diametro_cono","z_cilindro_impresion","ruta_fabricacion","disponibilidad_troquel","envase_disponible","material","color12","entregada_a_pre_prensa","consideraciones_termo_hp","descrpcion","cps","cantidad_etq_en_oi","total_metros_lineales","fact_consu_mat_2","fact_consu_cinta_p_laminar","fact_consu_folia","estado_de_vb","troquel_existente_nuevo","receta_en_sap","proyecto_tp","fabricacion_samson","sap_de_troquel"
"58797","9516","ETIQ.PRIME D. 57X114 TERM.P THE PROTEIN COMPANY ETIQ. FILETE DESGRASADO VACUNO AE A4 C3 1S 14000ETR V524","58797","THE PROTEIN COMPANY","PRIME DIGITAL","UNIDADES","NO APLICA","UV DIGITAL","NO APLICA","NO","--","NO APLICA","--","ESTANDAR","57 X 114","FLEXIBLE","2","5","97","3.175","No existe material","ma","Error","58446","NO APLICA","--","--","NO APLICA","--","--","","","","","HERNAN LARA","4: BLACK; P-4715; P-2310; P-485","ARCLAD","--","--","--","RECTANGULAR","0.010163175","3","4","AUTOMATICO","SIN INFORMACION","61.59499999999999","307.97499999999997","868","14000","1","14000","1","0.007699374999999999","3","4","ETIQUETA CON RESERVA DE BARNIZ / CONO DE 3""","MARIO FLORES","AUTOMATICO","SIN INFORMACION","61.59499999999999","307.97499999999997","868","14000","1","14000","1","#VALUE!","52312","722 + 701","CONO DE 3"" / EXISTE RUTA FLEXO SAP 58644 / PARA ESTA LINEA DE PRODUCTOS POR RUTA DURST NO SE APLICARA BARNIZ MATE CON RESERVA (M. JARAMILLO/ H. LARA/ S. SCHON.)","MARIO FLORES","45469","1","","","80","MARIO FLORES","SE CREA RUTA DIGITAL","45469","3","","","","","TERMICO PROTEGIDO","BLANCO","OK","","","","","","","","","","","","","",""
"58792","9517","ETIQ.PRIME.D 80X45 PPB IDEALPACK 80x45 BROXUL AE A3 C3 1S 2000ETR V624","58792","IDEAL PACK","PRIME DIGITAL","UNIDADES","NO APLICA","UV DIGITAL","NO APLICA","SI","BRILLANTE UV","NO APLICA","NO APLICA","NO APLICA","80 X 45","FLEXIBLE","4","4","105","3.175","LAMINADO 250MM OPTIMA MATE PPDL54 P G60  ARP","250","0.25","58119","NO APLICA","--","--","NO APLICA","--","--","","0","","","SEBASTIAN SCHON","8: C; M; Y; K; P-2935; P-7746; P-7745; P-5757 + BARNIZ","UPM","","","","RECTANGULAR","701","4","3","AUTOMATICO","SIN INFORMACION","83.34375","333.375","336","4000","4","16000","1","0.005208984375","4","3","IMPRESIÓN DE TEXTO VARIABLE /  RUTA DURST: SE DEBEN HACER MONTAJES SEGÚN HOJA ADJUNTA POR LOTES SOLICITADOS. PRECAUCION EN EL REBOBINADO PARA NO MEZCLAR LOTES DE ETIQUETAS. ROLLOS DEBEN IR EN BOLSAS (4 ROLLOS EN UNA BOLSA)","MARIO FLORES","AUTOMATICO","SIN INFORMACION","83.34375","333.375","336","4000","4","16000","1","0.005208984375","716","701","IMPRESIÓN DE TEXTO VARIABLE /  RUTA DURST: SE DEBEN HACER MONTAJES SEGÚN HOJA ADJUNTA POR LOTES SOLICITADOS. PRECAUCION EN EL REBOBINADO PARA NO MEZCLAR LOTES DE ETIQUETAS. ROLLOS DEBEN IR EN BOLSAS (4 ROLLOS EN UNA BOLSA)","MARIO FLORES","45470","1","","","80","","","","3","","","","","BOPP","BLANCO","OK","","","","200000","4580","","","","PRINTER","EXISTENTE","OK","TP 16210","",""
"58811","9518","0 17X21 BB60 EXPOCUMBRES ETIQUETA DEKOPON 3632 GTIN 0100845857001554, CHILE AE A3 C1 1S 2700ETR V624","58811","EXPOCUMBRES","SAMSON","MILES","NO APLICA","SOLVENTE","NO APLICA","NO","NO APLICA","NO APLICA","NO APLICA","ESTANDAR","17 X 21","FLEXIBLE","7","15","90","3.175","LAMINADO 160MM SY2040S PP BCO TC60  RP37 UPM SAMSON","160","0.16","58175","NO APLICA","--","--","NO APLICA","--","--","","","","","ALEX CORTES","3: BLACK; P-2617; P-152","UPM","--","--","--","OVALADO","0.43542857142857144","4","3","SEMIAUTOMATICO","SIN INFORMACION","19.05","285.75","50","2700","32","86400","1","0.43542857142857144","4","3","APLICACIÓN CON PISTOLA SAMSON / ROLLOS A 1 COLUMNA/ USAR TROQUEL SUPERIOR SINCLAIR Y TROQUEL SAMSON INFERIOR SIN MEDIO CORTE EN EL MEDIO.","MARIO FLORES","SEMIAUTOMATICO","SIN INFORMACION","19.05","285.75","50","2700","32","86400","1","0.43542857142857144","49","55704","APLICACIÓN CON PISTOLA SAMSON / ROLLOS A 1 COLUMNA/ USAR TROQUEL SUPERIOR SINCLAIR Y TROQUEL SAMSON INFERIOR SIN MEDIO CORTE EN EL MEDIO.","MARIO FLORES","45470","1","","","150","","","","1","","","","","OPP","BLANCO","OK","","","","172800","580","","","","PANTONE","EXISTENTE","OK","S/TP","CHILE","46240"
"58812","9519","ETIQ. PRIME D. CUI & CO - BISTEC POSTA NEGRA 114 X 57 MM DISBER2022 / DIGITAL","58812","PRODEA","PRIME DIGITAL","UNIDADES","NO APLICA","UV DIGITAL","NO APLICA","NO","N/A","NO APLICA","***","ESTANDAR","114 X 57","FLEXIBLE","4","3","111","3.175","LAMINADO 250MM TERMICO PROTEGIDO 7836 THERMAL TC /80 GR GL/60 RI","250","0.25","44236","NO APLICA","--","--","NO APLICA","--","--","--","--","","","HERNAN LARA","4: BLACK; P-4715; P-2310; P-485","RITRAMA","--","--","--","RECTANGULAR","43823","2","1","AUTOMATICO","SIN INFORMACION","117.47499999999998","352.42499999999995","452","3840","3","11520","1","0.007342187499999999","2","1","CON RESERVA BARNIZ UV MATTE / MP HOMOLOGA 53964","THOMAS DELGADO","AUTOMATICO","SIN INFORMACION","117.47499999999998","352.42499999999995","451","3840","3","11520","1","0.007342187499999999","43823","39379","LOS EMPALMES DEBEN SER CON CINTA TRANSPARENTE Y A LA MITAD DE LA ETIQUETA/ LOS ROLLOS DEBEN IR LIBRES DE POLVILLO (LIMPIAR CON AIRE) / EXISTE RUTA FLEXO SAP 55904 /  PARA ESTA LINEA DE PRODUCTOS POR RUTA DURST NO SE APLICARA BARNIZ MATE CON RESERVA (M. JARAMILLO/ H. LARA/ S. SCHON.)","MARIO FLORES","45470","1","","","80","MARIO FLORES","SE CREA RUTA DIGITAL","45470","3","","","","","TERMICO PROTEGIDO","BLANCO","OK","","","","","","","","","","","","","",""
"58813","9520","ETIQ. PRIME D. CUI & CO BISTEC POSTA ROSADA 114 X 57 MM DISFEB2022 / DIGITAL","58813","PRODEA","PRIME DIGITAL","UNIDADES","NO APLICA","UV DIGITAL","NO APLICA","NO","N/A","NO APLICA","***","ESTANDAR","114 X 57","FLEXIBLE","4","3","111","3.175","LAMINADO 250MM TERMICO PROTEGIDO 7836 THERMAL TC /80 GR GL/60 RI","250","0.25","44236","NO APLICA","--","--","NO APLICA","--","--","--","--","","","HERNAN LARA","4: BLACK; P-4715; P-2310; P-485","RITRAMA","--","--","--","RECTANGULAR","43823","2","1","AUTOMATICO","SIN INFORMACION","117.47499999999998","352.42499999999995","452","3840","3","11520","1","0.007342187499999999","2","1","CON RESERVA BARNIZ UV MATTE / MP HOMOLOGA 53964","THOMAS DELGADO","AUTOMATICO","SIN INFORMACION","117.47499999999998","352.42499999999995","451","3840","3","11520","1","0.007342187499999999","43823","39379","LOS EMPALMES DEBEN SER CON CINTA TRANSPARENTE Y A LA MITAD DE LA ETIQUETA/ LOS ROLLOS DEBEN IR LIBRES DE POLVILLO (LIMPIAR CON AIRE) / EXISTE RUTA FLEXO SAP 55905 /  PARA ESTA LINEA DE PRODUCTOS POR RUTA DURST NO SE APLICARA BARNIZ MATE CON RESERVA (M. JARAMILLO/ H. LARA/ S. SCHON.)","MARIO FLORES","45470","1","","","80","MARIO FLORES","SE CREA RUTA DIGITAL","45470","3","","","","","TERMICO PROTEGIDO","BLANCO","OK","","","","","","","","","","","","","",""
"58814","9521","ETIQ. PRIME D. CUI &  CO - BISTEC LOMO LISO - 114 X 57 MM DISFEB2022 / DIGITAL","58814","PRODEA","PRIME DIGITAL","UNIDADES","NO APLICA","UV DIGITAL","NO APLICA","NO","N/A","NO APLICA","***","ESTANDAR","114 X 57","FLEXIBLE","4","3","111","3.175","LAMINADO 250MM TERMICO PROTEGIDO 7836 THERMAL TC /80 GR GL/60 RI","250","0.25","44236","NO APLICA","--","--","NO APLICA","--","--","--","--","","","HERNAN LARA","4: BLACK; P-4715; P-2310; P-485","RITRAMA","--","--","--","RECTANGULAR","43823","2","1","AUTOMATICO","SIN INFORMACION","117.47499999999998","352.42499999999995","452","3840","3","11520","1","0.007342187499999999","2","1","CON RESERVA BARNIZ UV MATTE / MP HOMOLOGA 53964","THOMAS DELGADO","AUTOMATICO","SIN INFORMACION","117.47499999999998","352.42499999999995","451","3840","3","11520","1","0.007342187499999999","43823","39379","LOS EMPALMES DEBEN SER CON CINTA TRANSPARENTE Y A LA MITAD DE LA ETIQUETA/ LOS ROLLOS DEBEN IR LIBRES DE POLVILLO (LIMPIAR CON AIRE) / EXISTE RUTA FLEXO SAP 55902 /  PARA ESTA LINEA DE PRODUCTOS POR RUTA DURST NO SE APLICARA BARNIZ MATE CON RESERVA (M. JARAMILLO/ H. LARA/ S. SCHON.)","MARIO FLORES","45470","1","","","80","MARIO FLORES","SE CREA RUTA DIGITAL","45470","3","","","","","TERMICO PROTEGIDO","BLANCO","OK","","","","","","","","","","","","","",""
"58815","9522","ETIQ. PRIME D. CUI & CO - ESCALOPA DE GANSO 114 X 57 MM  DISFEB2022 / DIGITAL","58815","PRODEA","PRIME DIGITAL","UNIDADES","NO APLICA","UV DIGITAL","NO APLICA","NO","N/A","NO APLICA","***","ESTANDAR","114 X 57","FLEXIBLE","4","3","111","3.175","LAMINADO 250MM TERMICO PROTEGIDO 7836 THERMAL TC /80 GR GL/60 RI","250","0.25","44236","NO APLICA","--","--","NO APLICA","--","--","--","--","","","HERNAN LARA","4: BLACK; P-4715; P-2310; P-485","RITRAMA","--","--","--","RECTANGULAR","43823","2","1","AUTOMATICO","SIN INFORMACION","117.47499999999998","352.42499999999995","452","3840","3","11520","1","0.007342187499999999","2","1","CON RESERVA BARNIZ UV MATTE / MP HOMOLOGA 53964","THOMAS DELGADO","AUTOMATICO","SIN INFORMACION","117.47499999999998","352.42499999999995","451","3840","3","11520","1","0.007342187499999999","43823","39379","LOS EMPALMES DEBEN SER CON CINTA TRANSPARENTE Y A LA MITAD DE LA ETIQUETA/ LOS ROLLOS DEBEN IR LIBRES DE POLVILLO (LIMPIAR CON AIRE) / EXISTE RUTA FLEXO SAP 55906 /  PARA ESTA LINEA DE PRODUCTOS POR RUTA DURST NO SE APLICARA BARNIZ MATE CON RESERVA (M. JARAMILLO/ H. LARA/ S. SCHON.)","MARIO FLORES","45470","1","","","80","MARIO FLORES","SE CREA RUTA DIGITAL","45470","3","","","","","TERMICO PROTEGIDO","BLANCO","OK","","","","","","","","","","","","","",""
"58816","9523","ETIQ.PRIME D. 114 X 57 TERM.P PRODEA ESCALOPA POSTA NEGRA CUI&CO AE A1 C1,5 1S 3840ETR V323 / DIGITAL","58816","PRODEA","PRIME DIGITAL","UNIDADES","NO APLICA","UV DIGITAL","NO APLICA","NO","N/A","NO APLICA","***","ESTANDAR","114 X 57","FLEXIBLE","4","3","111","3.175","LAMINADO 250MM TERMICO PROTEGIDO 7836 THERMAL TC /80 GR GL/60 RI","250","0.25","44236","NO APLICA","--","--","NO APLICA","--","--","--","--","","","HERNAN LARA","4: BLACK; P-4715; P-2310; P-485","RITRAMA","--","--","--","RECTANGULAR","43823","2","1","AUTOMATICO","SIN INFORMACION","117.47499999999998","352.42499999999995","452","3840","3","11520","1","0.007342187499999999","2","1","CON RESERVA BARNIZ UV MATTE / MP HOMOLOGA 53964","THOMAS DELGADO","AUTOMATICO","SIN INFORMACION","117.47499999999998","352.42499999999995","451","3840","3","11520","1","0.007342187499999999","43823","39379","LOS EMPALMES DEBEN SER CON CINTA TRANSPARENTE Y A LA MITAD DE LA ETIQUETA/ LOS ROLLOS DEBEN IR LIBRES DE POLVILLO (LIMPIAR CON AIRE) / EXISTE RUTA FLEXO SAP 57210 /  PARA ESTA LINEA DE PRODUCTOS POR RUTA DURST NO SE APLICARA BARNIZ MATE CON RESERVA (M. JARAMILLO/ H. LARA/ S. SCHON.)","MARIO FLORES","45470","1","","","80","MARIO FLORES","SE CREA RUTA DIGITAL","45470","3","","","","","TERMICO PROTEGIDO","BLANCO","OK","","","","","","","","","","","","","",""
"58817","9524","ETIQ.PRIME D. 114X57 TERM.P PRODEA CUI & CO - CARNE MOLIDA 4% AF A1 1,5C 1S 307200ETR V622 / DIGITAL","58817","PRODEA","PRIME DIGITAL","UNIDADES","NO APLICA","UV DIGITAL","NO APLICA","NO","N/A","NO APLICA","***","ESTANDAR","114 X 57","FLEXIBLE","4","3","111","3.175","LAMINADO 250MM TERMICO PROTEGIDO 7836 THERMAL TC /80 GR GL/60 RI","250","0.25","44236","NO APLICA","--","--","NO APLICA","--","--","","","","","HERNAN LARA","5: BLACK; P-7710; P-2310; P-4715; P-485","RITRAMA","--","--","--","RECTANGULAR","","","","","","","","","","","","","","2","1","","","AUTOMATICO","SIN INFORMACION","117.47499999999998","352.42499999999995","451","3840","3","11520","1","0.007342187499999999","43823","39379","LOS EMPALMES DEBEN SER CON CINTA TRANSPARENTE Y A LA MITAD DE LA ETIQUETA/ LOS ROLLOS DEBEN IR LIBRES DE POLVILLO (LIMPIAR CON AIRE) / EXISTE RUTA FLEXO SAP 57210 /  PARA ESTA LINEA DE PRODUCTOS POR RUTA DURST NO SE APLICARA BARNIZ MATE CON RESERVA (M. JARAMILLO/ H. LARA/ S. SCHON.)","","45470","1","","","80","MARIO FLORES","SE CREA RUTA DIGITAL","45470","3","","","","","TERMICO PROTEGIDO","BLANCO","OK","","","","","","","","","","","","","",""
"58818","9525","ETIQ.PRIME D. 114X57 TERM.P PRODEA CARNE MOLIDA 7% COU&CO AE A1 C3 1S 3840ETR V1122 / DIGITAL","58818","PRODEA","PRIME DIGITAL","UNIDADES","NO APLICA","UV DIGITAL","NO APLICA","NO","N/A","NO APLICA","***","ESTANDAR","114 X 57","FLEXIBLE","4","3","111","3.175","LAMINADO 250MM TERMICO PROTEGIDO 7836 THERMAL TC /80 GR GL/60 RI","250","0.25","44236","NO APLICA","--","--","NO APLICA","--","--","--","--","","","HERNAN LARA","5: BLACK; P-4715; P-2310; P-141; P-485","RITRAMA","--","--","--","RECTANGULAR","43823","2","1","AUTOMATICO","SIN INFORMACION","117.47499999999998","352.42499999999995","452","3840","3","11520","1","0.007342187499999999","2","1","CON RESERVA BARNIZ UV MATTE / MP HOMOLOGA 53964","THOMAS DELGADO","AUTOMATICO","SIN INFORMACION","117.47499999999998","352.42499999999995","451","3840","3","11520","1","0.007342187499999999","43823","39379","LOS EMPALMES DEBEN SER CON CINTA TRANSPARENTE Y A LA MITAD DE LA ETIQUETA/ LOS ROLLOS DEBEN IR LIBRES DE POLVILLO (LIMPIAR CON AIRE) / EXISTE RUTA FLEXO SAP 56303 /  PARA ESTA LINEA DE PRODUCTOS POR RUTA DURST NO SE APLICARA BARNIZ MATE CON RESERVA (M. JARAMILLO/ H. LARA/ S. SCHON.)","MARIO FLORES","45470","1","","","80","MARIO FLORES","SE CREA RUTA DIGITAL","45470","3","","","","","TERMICO PROTEGIDO","BLANCO","OK","","","","","","","","","","","","","",""
